country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","13-12-2025 20:00:00",18.547056,73.826908,PM10,52,147,105
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","13-12-2025 20:00:00",18.547056,73.826908,NH3,1,14,7
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","13-12-2025 20:00:00",18.547056,73.826908,CO,12,129,39
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","13-12-2025 20:00:00"," 16.5038",74.3623,SO2,5,39,14
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB","13-12-2025 20:00:00",25.5803419,91.8942571,NO2,6,23,15
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB","13-12-2025 20:00:00",25.5803419,91.8942571,SO2,23,28,26
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB","13-12-2025 20:00:00",25.5803419,91.8942571,CO,14,107,36
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","13-12-2025 20:00:00",23.7176342,92.7192841,PM2.5,36,40,38
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","13-12-2025 20:00:00",19.235581,73.159121,CO,5,102,29
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","13-12-2025 20:00:00",19.4458210,72.7988231,PM10,62,228,135
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","13-12-2025 20:00:00",19.4458210,72.7988231,SO2,2,14,8
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","13-12-2025 20:00:00",19.4458210,72.7988231,CO,16,131,27
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","13-12-2025 20:00:00",18.605770,73.749976,PM2.5,NA,NA,NA
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","13-12-2025 20:00:00",18.501793,73.927532,PM10,139,479,292
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","13-12-2025 20:00:00",18.573040,73.927715,PM2.5,95,323,228
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.02579,73.10297,NH3,6,15,11
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.0630,73.1209,SO2,2,4,3
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","13-12-2025 20:00:00",18.63673,73.82487,NO2,36,140,74
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","13-12-2025 20:00:00",18.59051,73.77946,CO,24,124,52
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.0575752,73.0151367,CO,10,117,44
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.0575752,73.0151367,OZONE,15,41,37
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","13-12-2025 20:00:00",30.9028,75.8086,PM10,117,146,130
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","13-12-2025 20:00:00",30.9028,75.8086,SO2,12,25,17
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","13-12-2025 20:00:00",30.9028,75.8086,CO,38,82,56
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","13-12-2025 20:00:00",30.649961,76.331442,PM2.5,61,196,101
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","13-12-2025 20:00:00",30.649961,76.331442,NO2,23,24,24
India,Punjab,Patiala,"Model Town, Patiala - PPCB","13-12-2025 20:00:00",30.349388,76.366642,NH3,6,7,6
India,Punjab,Patiala,"Model Town, Patiala - PPCB","13-12-2025 20:00:00",30.349388,76.366642,CO,18,118,75
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","13-12-2025 20:00:00",26.470859,74.646594,NO2,14,44,20
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","13-12-2025 20:00:00",26.470859,74.646594,SO2,17,24,20
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","13-12-2025 20:00:00",31.321907,75.578914,PM10,98,147,119
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","13-12-2025 20:00:00",31.321907,75.578914,SO2,16,17,17
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","13-12-2025 20:00:00",31.321907,75.578914,CO,43,48,46
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","13-12-2025 20:00:00",31.321907,75.578914,OZONE,38,43,40
